Datetime,Close,High,Low,Open,Volume
2026-07-28 05:00:00-04:00,27956.0,28016.5,27941.5,27992.25,5551
2026-07-28 06:00:00-04:00,27942.75,27980.5,27904.25,27956.0,7727
2026-07-28 07:00:00-04:00,27963.75,27975.0,27848.25,27945.75,15268
2026-07-28 08:00:00-04:00,27993.25,28032.75,27949.25,27962.5,16127
2026-07-28 09:00:00-04:00,27665.25,28028.5,27641.75,27993.75,102737
2026-07-28 10:00:00-04:00,27801.75,27890.0,27603.5,27665.5,117955
2026-07-28 11:00:00-04:00,28048.0,28062.5,27768.0,27803.0,81015
2026-07-28 12:00:00-04:00,28057.5,28080.0,27953.5,28047.75,52172
2026-07-28 13:00:00-04:00,27972.5,28066.5,27925.0,28057.5,44514
2026-07-28 14:00:00-04:00,27972.75,27999.5,27912.5,27974.0,35021
2026-07-28 15:00:00-04:00,27919.5,28023.75,27911.0,27972.25,54843
2026-07-28 16:00:00-04:00,27960.5,27991.25,27884.25,27919.25,20847
2026-07-28 18:00:00-04:00,27756.75,28013.25,27756.25,27962.0,0
2026-07-28 19:00:00-04:00,28102.5,28104.5,27728.5,27758.25,18597
2026-07-28 20:00:00-04:00,28013.25,28178.25,28000.25,28102.75,14594
2026-07-28 21:00:00-04:00,27785.25,28041.25,27784.0,28011.75,13888
2026-07-28 22:00:00-04:00,27839.5,27912.75,27770.25,27785.0,11403
2026-07-28 23:00:00-04:00,27718.0,27882.5,27702.0,27839.0,9686
2026-07-29 00:00:00-04:00,27756.0,27759.0,27640.0,27700.0,10333
2026-07-29 01:00:00-04:00,27794.0,27852.75,27735.75,27758.75,9923
2026-07-29 02:00:00-04:00,27928.75,27942.25,27736.25,27794.0,9796
2026-07-29 03:00:00-04:00,27906.0,27962.75,27891.25,27928.75,7948
2026-07-29 04:00:00-04:00,27904.0,27939.25,27820.0,27906.25,7983
2026-07-29 05:00:00-04:00,28019.75,28060.0,27901.0,27904.5,8536
2026-07-29 06:00:00-04:00,27948.0,28046.0,27931.5,28018.25,7825
2026-07-29 07:00:00-04:00,28002.75,28023.75,27934.5,27950.25,8387
2026-07-29 08:00:00-04:00,27907.75,28007.75,27844.25,28002.0,13531
2026-07-29 09:00:00-04:00,27733.75,27996.0,27667.75,27909.0,76656
2026-07-29 10:00:00-04:00,27600.0,27826.5,27510.0,27735.25,107456
2026-07-29 11:00:00-04:00,27517.0,27657.5,27464.5,27600.5,67761
2026-07-29 12:00:00-04:00,27603.25,27603.5,27409.25,27518.25,56866
2026-07-29 13:00:00-04:00,27721.75,27750.0,27595.25,27603.75,48402
2026-07-29 14:00:00-04:00,28056.75,28096.75,27709.0,27723.0,99576
2026-07-29 15:00:00-04:00,27336.75,28099.5,27317.5,28057.5,133677
