Date,Close,High,Low,Open,Volume
2022-10-24,11587.0,11734.0,10921.5,11393.75,3657196
2022-10-31,10890.25,11619.0,10636.0,11592.5,3570204
2022-11-07,11848.0,11876.75,10751.0,10786.5,3497035
2022-11-14,11708.0,12118.75,11528.25,11791.0,3170706
2022-11-21,11782.75,11933.0,11526.5,11723.0,1736068
2022-11-28,12010.25,12145.0,11465.0,11731.25,3048783
2022-12-05,11569.75,12015.75,11422.5,12000.5,2934764
2022-12-12,11327.0400390625,12229.5,11206.5,11553.0,1807984
2022-12-19,11075.25,11411.0,10870.5,11328.75,3067966
2022-12-26,11022.25,11183.75,10758.75,11104.0,2067859
2023-01-02,11113.5,11182.0,10751.0,11122.5,2846468
2023-01-09,11608.0,11619.5,11094.0,11126.5,2942325
2023-01-16,11677.0,11759.5,11308.5,11613.5,2850295
2023-01-23,12222.25,12308.5,11604.5,11676.75,2948327
2023-01-30,12624.0,12949.75,11871.0,12212.5,3530415
2023-02-06,12346.25,12818.5,12243.25,12572.0,3083146
2023-02-13,12390.0,12792.75,12265.25,12357.5,3067303
2023-02-20,11997.0,12417.75,11923.0,12380.0,3164140
2023-02-27,12311.25,12329.0,11832.5,12003.0,3412104
2023-03-06,11840.25,12486.25,11795.0,12306.25,3618978
2023-03-13,12594.650390625,12636.5,11674.25,11894.75,2235980
2023-03-20,12890.25,13082.0,12525.25,12690.0,3488346
2023-03-27,13301.75,13311.5,12634.25,12916.0,2875021
2023-04-03,13170.75,13348.75,12953.25,13262.0,1755760
2023-04-10,13181.25,13255.0,12925.5,13179.75,2972886
2023-04-17,13090.5,13298.75,12982.5,13212.5,2921197
2023-04-24,13320.25,13336.0,12800.0,13070.0,3430975
2023-05-01,13317.75,13370.25,13001.75,13317.0,3031247
2023-05-08,13396.25,13494.25,13202.75,13316.0,3179435
2023-05-15,13858.0,13960.25,13350.0,13378.75,3088226
2023-05-22,14332.5,14369.0,13566.5,13805.5,3449882
2023-05-29,14575.25,14627.75,14248.25,14437.5,2808246
2023-06-05,14556.25,14694.75,14256.75,14577.0,3175605
2023-06-12,15316.6103515625,15324.0,14554.25,14560.25,1725290
2023-06-19,15058.25,15322.5,14964.0,15303.25,2525195
2023-06-26,15337.0,15376.75,14853.5,15057.75,3004926
2023-07-03,15181.75,15432.0,15111.5,15331.0,1914721
2023-07-10,15694.25,15857.25,15063.25,15198.5,3005901
2023-07-17,15540.0,16062.75,15522.25,15690.0,3352568
2023-07-24,15847.5,15904.0,15483.75,15556.0,3336406
2023-07-31,15354.0,15917.0,15336.5,15850.0,3259125
2023-08-07,15095.75,15497.75,15037.25,15370.5,3290907
2023-08-14,14744.0,15335.0,14609.25,15104.0,3202477
2023-08-21,14979.25,15418.0,14720.5,14762.5,3542778
2023-08-28,15516.25,15661.25,14973.5,14991.0,2950191
2023-09-04,15297.5,15586.75,15157.5,15517.0,2444758
2023-09-11,15435.2001953125,15524.0,15212.75,15308.0,1673797
2023-09-18,14869.5,15461.0,14836.25,15382.25,2993865
2023-09-25,14866.5,15060.75,14586.0,14880.25,3432689
